area;u_18;18_24;25_34;35_44;45_54;55_64;65_74;o_75;pop;White;Black;Native;Asian;Hawaiian;Other;2_or_more;Hispanic;Non_Hispanic;;;
16300;24,5;9,2;13,3;13,0;14,7;11,7;7,0;6,6;257.940;92,02;3,43;0,26;1,54;0,07;0,63;2,05;2,36;97,64;;;
16580;20,0;21,5;14,4;10,8;12,2;10,1;5,6;5,4;231.891;76,62;10,82;0,26;7,79;0,06;1,93;2,52;4,77;95,23;;;
16620;21,6;7,5;12,1;12,9;15,4;14,6;8,7;7,3;304.284;92,27;4,85;0,20;0,81;0,02;0,24;1,61;0,83;99,17;;;
16700;23,3;11,1;15,1;13,1;14,1;11,8;6,8;4,7;664.607;65,57;27,69;0,46;1,63;0,09;2,47;2,09;5,37;94,63;;;
16740;25,9;8,9;14,5;15,7;14,4;10,5;5,8;4,3;1.758.038;65,13;23,95;0,49;3,15;0,06;4,98;2,24;9,83;90,17;;;
16820;20,4;14,0;13,6;12,1;14,0;12,2;7,5;6,2;201.559;78,96;12,46;0,25;3,90;0,04;1,96;2,43;4,78;95,22;;;
16860;22,3;9,5;12,5;13,1;14,7;13,1;8,1;6,6;528.143;81,13;13,88;0,34;1,37;0,07;1,58;1,62;3,54;96,46;;;
16940;24,4;9,7;13,5;12,4;14,8;12,7;7,0;5,5;91.738;88,52;2,45;0,96;1,06;0,15;3,79;3,06;13,06;86,94;;;
16980;25,1;9,4;14,4;14,0;14,6;11,1;6,1;5,3;9.461.105;65,36;17,40;0,39;5,63;0,03;8,76;2,43;20,69;79,31;;;
17020;21,0;14,7;12,1;10,6;13,1;13,1;7,8;7,6;220.000;81,86;1,55;2,00;4,12;0,21;5,52;4,75;14,14;85,86;;;
17140;24,9;9,5;12,9;13,3;15,3;11,9;6,6;5,7;2.130.151;82,93;12,01;0,19;1,90;0,07;1,06;1,85;2,59;97,41;;;
17300;27,6;12,3;16,2;12,8;12,2;9,2;5,6;4,0;273.949;73,23;18,27;0,56;1,64;0,36;2,11;3,83;6,83;93,17;;;
17420;22,9;10,1;12,0;13,6;14,5;12,4;8,6;5,9;115.788;91,36;3,69;0,34;0,74;0,05;2,11;1,71;4,23;95,77;;;
17460;23,2;8,4;11,7;12,8;15,7;13,1;7,6;7,6;2.077.240;74,06;20,05;0,20;1,95;0,02;1,70;2,03;4,72;95,28;;;
17660;24,7;8,7;12,1;12,5;14,3;13,2;8,3;6,2;138.494;94,48;0,30;1,29;0,69;0,09;0,75;2,40;3,80;96,20;;;
17780;21,0;27,4;14,6;10,1;10,2;8,0;4,7;3,9;228.660;73,23;11,85;0,47;4,47;0,05;7,65;2,28;22,55;77,45;;;
