;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
area;Geographic area;White;"Black or
African
American";"American
Indian
and
Alaska
Native";Asian;"Native
Hawaiian
and Other
Pacific
Islander";"Some
Other
Race";"Two or
More Races1";"Hispanic
or Latino";"Not
Hispanic
or Latino";"Non-
Hispanic
White
alone"
25500;Harrisonburg, VA;87,48;3,50;0,27;1,74;0,06;4,89;2,06;9,38;90,62;83,87
25540;Hartford-West Hartford-East Hartford, CT;76,89;10,88;0,24;3,90;0,03;5,57;2,48;12,47;87,53;71,60
25620;Hattiesburg, MS;68,13;28,29;0,24;0,82;0,05;1,24;1,23;2,77;97,23;66,91
25860;Hickory-Lenoir-Morganton, NC;85,12;6,89;0,32;2,55;0,11;3,30;1,71;6,31;93,69;82,65
25980;Hinesville-Fort Stewart, GA;49,93;39,08;0,58;1,75;0,57;3,66;4,43;10,19;89,81;45,66
26100;Holland-Grand Haven, MI;90,08;1,47;0,43;2,55;0,03;3,41;2,02;8,63;91,37;85,73
26180;Honolulu, HI;20,85;2,02;0,26;43,89;9,53;1,10;22,35;8,12;91,88;19,06
26300;Hot Springs, AR;86,40;7,93;0,61;0,72;0,05;1,98;2,31;4,81;95,19;83,96
26380;Houma-Bayou Cane-Thibodaux, LA;74,47;16,28;4,35;0,89;0,04;2,00;1,97;3,88;96,12;72,95
26420;Houston-Sugar Land-Baytown, TX;60,22;17,25;0,64;6,54;0,06;12,27;3,02;35,30;64,70;39,69
26580;Huntington-Ashland, WV-KY-OH;94,81;2,71;0,23;0,58;0,02;0,24;1,43;0,94;99,06;94,19
26620;Huntsville, AL;70,59;21,74;0,74;2,20;0,10;2,30;2,33;4,79;95,21;68,62
26820;Idaho Falls, ID;90,70;0,49;0,76;0,74;0,08;5,25;1,97;11,16;88,84;85,75
26900;Indianapolis-Carmel, IN;77,02;15,00;0,27;2,25;0,04;3,23;2,18;6,16;93,84;74,60
26980;Iowa City, IA;87,08;4,23;0,22;4,52;0,04;1,75;2,15;4,81;95,19;84,46
27060;Ithaca, NY;82,65;3,96;0,35;8,60;0,04;1,16;3,24;4,20;95,80;80,24
